"RF","tree_id","dataset"
12,1,"independent"
12,2,"independent"
6,3,"independent"
12,4,"independent"
12,5,"independent"
12,6,"independent"
10,7,"independent"
10,8,"independent"
12,9,"independent"
12,10,"independent"
8,11,"independent"
10,12,"independent"
8,13,"independent"
10,14,"independent"
8,15,"independent"
8,16,"independent"
10,17,"independent"
10,18,"independent"
10,19,"independent"
8,20,"independent"
12,21,"independent"
8,22,"independent"
8,23,"independent"
8,24,"independent"
12,25,"independent"
8,26,"independent"
10,27,"independent"
10,28,"independent"
12,29,"independent"
10,30,"independent"
10,31,"independent"
12,32,"independent"
12,33,"independent"
8,34,"independent"
10,35,"independent"
10,36,"independent"
6,37,"independent"
10,38,"independent"
8,39,"independent"
8,40,"independent"
12,41,"independent"
12,42,"independent"
10,43,"independent"
10,44,"independent"
14,45,"independent"
10,46,"independent"
8,47,"independent"
12,48,"independent"
8,49,"independent"
10,50,"independent"
10,51,"independent"
10,52,"independent"
12,53,"independent"
10,54,"independent"
10,55,"independent"
12,56,"independent"
12,57,"independent"
12,58,"independent"
8,59,"independent"
12,60,"independent"
8,61,"independent"
10,62,"independent"
6,63,"independent"
12,64,"independent"
12,65,"independent"
12,66,"independent"
10,67,"independent"
14,68,"independent"
8,69,"independent"
10,70,"independent"
10,71,"independent"
12,72,"independent"
10,73,"independent"
10,74,"independent"
8,75,"independent"
10,76,"independent"
10,77,"independent"
12,78,"independent"
6,79,"independent"
10,80,"independent"
6,81,"independent"
10,82,"independent"
12,83,"independent"
14,84,"independent"
12,85,"independent"
10,86,"independent"
10,87,"independent"
12,88,"independent"
12,89,"independent"
12,90,"independent"
6,91,"independent"
12,92,"independent"
10,93,"independent"
8,94,"independent"
14,95,"independent"
12,96,"independent"
10,97,"independent"
10,98,"independent"
12,99,"independent"
10,100,"independent"
12,101,"independent"
10,102,"independent"
8,103,"independent"
8,104,"independent"
12,105,"independent"
14,106,"independent"
10,107,"independent"
14,108,"independent"
12,109,"independent"
12,110,"independent"
12,111,"independent"
10,112,"independent"
8,113,"independent"
12,114,"independent"
12,115,"independent"
10,116,"independent"
12,117,"independent"
14,118,"independent"
10,119,"independent"
8,120,"independent"
8,121,"independent"
12,122,"independent"
10,123,"independent"
6,124,"independent"
12,125,"independent"
8,126,"independent"
10,127,"independent"
12,128,"independent"
14,129,"independent"
10,130,"independent"
12,131,"independent"
12,132,"independent"
8,133,"independent"
10,134,"independent"
14,135,"independent"
