# BEAST v10.5.0
# Generated Wed Apr 29 21:46:57 BST 2026 [seed=1777495616735]
# run_sites100_seed3_dependent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-7410.727710709294	-1114.5308052068358	-6296.196905502458	114.31294430794583	566.2967992380676	2.0	1.0	1.0	-6296.196905502458	0.0	-1112.4923302398968
1000	-5638.378501212441	-112.57386681695927	-5525.804634395481	105.36647908202428	475.2017061352131	0.04950615208515353	1.0	1.0	-5525.804634395481	0.0	-110.68949957992126
2000	-4761.679929983419	-113.05646747149063	-4648.623462511929	102.20308879676327	454.73095559023267	0.04197422231251731	1.0	1.0	-4648.623462511929	0.0	-111.03726672635128
3000	-4201.618727828095	-109.0777455886965	-4092.540982239398	95.76727673680696	427.0007235409326	0.05831897715635857	1.0	1.0	-4092.540982239398	0.0	-107.31524960922809
4000	-3974.2342010408584	-107.25984595673201	-3866.9743550841263	91.10735117968395	403.24130111820955	0.06341623530908146	1.0	1.0	-3866.9743550841263	0.0	-105.55507105188804
5000	-3757.255057665609	-107.30267521050884	-3649.9523824551	91.7493772608563	405.25611363078656	0.08187487610673413	1.0	1.0	-3649.9523824551	0.0	-105.75462394363096
6000	-3540.5538590726837	-106.92237126691776	-3433.631487805766	86.60585944396202	393.621468709312	0.06026347779139211	1.0	1.0	-3433.631487805766	0.0	-105.18284061929972
7000	-3211.5400609243015	-106.43032620228685	-3105.1097347220148	86.13835609847936	384.2956526864677	0.09743546216889967	1.0	1.0	-3105.1097347220148	0.0	-104.97241088102001
8000	-3137.4359383474794	-102.55912310749204	-3034.876815239987	88.3077343164872	346.0961853058016	0.09340316795995769	1.0	1.0	-3034.876815239987	0.0	-101.08055059394823
9000	-3025.4654671505064	-102.3639733555315	-2923.101493794975	88.87651121713846	343.75748372506945	0.09419816413838444	1.0	1.0	-2923.101493794975	0.0	-100.88960688616186
10000	-2998.0744457936794	-100.38780835790914	-2897.68663743577	84.96036718968179	322.9218336942123	0.09190296956988445	1.0	1.0	-2897.68663743577	0.0	-98.90111163094849
11000	-2937.902680262048	-100.42554853035215	-2837.477131731696	89.25595018447503	322.55776880381967	0.08530349611669953	1.0	1.0	-2837.477131731696	0.0	-98.89996071527028
12000	-2869.612720812267	-100.03561908817272	-2769.5771017240945	92.49099397450205	316.24171118928996	0.08141650560301446	1.0	1.0	-2769.5771017240945	0.0	-98.48443544575272
13000	-2728.7029388791584	-99.73599964287392	-2628.9669392362844	90.63639697388821	300.38302843595756	0.07041198271840414	1.0	1.0	-2628.9669392362844	0.0	-98.09892742291531
14000	-2712.7169550013227	-99.72453287356993	-2612.992422127753	93.21963933190413	315.7440402518907	0.0929436652110499	1.0	1.0	-2612.992422127753	0.0	-98.24349824342566
15000	-2613.7269390893066	-95.3716875789955	-2518.355251510311	79.63936789113795	271.59106778508726	0.10035456965033435	1.0	1.0	-2518.355251510311	0.0	-93.92772909038892
16000	-2514.1053393061547	-94.65152316799917	-2419.4538161381556	77.66831532084288	265.6440337050861	0.10702460311534552	1.0	1.0	-2419.4538161381556	0.0	-93.2366468007708
17000	-2456.256713571131	-92.25596045262218	-2364.000753118509	70.0609333565155	244.61999060624942	0.12694415180261742	1.0	1.0	-2364.000753118509	0.0	-90.9093103474703
18000	-2446.7766494054345	-91.98845151219699	-2354.7881978932373	68.77432832414961	240.95466981801596	0.10764643772536084	1.0	1.0	-2354.7881978932373	0.0	-90.57610312173414
19000	-2433.0717712358587	-90.86456465754331	-2342.2072065783154	66.38296226563062	232.2260239758606	0.11297821582480176	1.0	1.0	-2342.2072065783154	0.0	-89.47272937268853
20000	-2411.8073872311056	-89.40128220624212	-2322.4061050248633	66.71879830141648	222.29812301338853	0.13071877678000676	1.0	1.0	-2322.4061050248633	0.0	-88.06504187949876
21000	-2413.428323155009	-90.87432992298805	-2322.5539932320207	65.69553945486703	229.762081927294	0.1527823760180954	1.0	1.0	-2322.5539932320207	0.0	-89.58707851954725
22000	-2413.0065532118583	-91.80436978346482	-2321.2021834283937	62.93975149065332	224.36961977965746	0.1867747651286882	1.0	1.0	-2321.2021834283937	0.0	-90.56428676264103
23000	-2412.9623179007676	-87.7506655127209	-2325.211652388047	56.78328468412437	208.74201800229417	0.15720434302138456	1.0	1.0	-2325.211652388047	0.0	-86.47120618918737
24000	-2402.3170361189577	-84.70769022164168	-2317.609345897316	54.48515482273369	189.24124551178664	0.14824934778900017	1.0	1.0	-2317.609345897316	0.0	-83.41182079679601
25000	-2404.14751562885	-81.72746873341823	-2322.420046895432	52.647588311323766	168.09844272629113	0.14354111739861178	1.0	1.0	-2322.420046895432	0.0	-80.42191712238346
26000	-2393.946915690617	-78.93310306401747	-2315.0138126265997	50.029752584506554	154.42899322663087	0.16818650363490664	1.0	1.0	-2315.0138126265997	0.0	-77.67064389536255
27000	-2394.34426386559	-79.74343993806053	-2314.6008239275297	47.09198753931534	140.84127639594084	0.32831382363357675	1.0	1.0	-2314.6008239275297	0.0	-78.53991308980488
28000	-2331.0950184420526	-72.48242131128762	-2258.612597130765	44.86042925016284	124.5732635365608	0.23008354165595013	1.0	1.0	-2258.612597130765	0.0	-71.2723292012521
29000	-2298.637421888433	-70.83056401808531	-2227.806857870348	44.68465338255264	117.68224468007963	0.2520484526155977	1.0	1.0	-2227.806857870348	0.0	-69.62751186433194
30000	-2284.3002913992036	-68.80615649268209	-2215.4941349065216	41.617841912815024	109.77958915755022	0.2621849077350711	1.0	1.0	-2215.4941349065216	0.0	-67.6050042680747
31000	-2269.8875371455333	-60.29704838830112	-2209.5904887572324	33.25662445584161	81.63124524959873	0.3294007077387643	1.0	1.0	-2209.5904887572324	0.0	-59.09331902628779
32000	-2268.6183767230145	-55.662990853779945	-2212.9553858692348	30.933521293783187	69.56902977546906	0.38914109395844243	1.0	1.0	-2212.9553858692348	0.0	-54.442753812394656
33000	-2258.3688757371065	-47.97507794535675	-2210.39379779175	21.7975877707855	49.28397502378278	0.8441373261468494	1.0	1.0	-2210.39379779175	0.0	-46.51620547705732
34000	-2186.42872984952	-32.16297995942693	-2154.265749890093	14.498178880665474	30.4897177613195	1.0468723881539117	1.0	1.0	-2154.265749890093	0.0	-30.590439454148935
35000	-2165.8856287070794	-17.313938101687373	-2148.571690605392	8.232369454170637	17.955566544653074	1.8365341346731585	1.0	1.0	-2148.571690605392	0.0	-15.347485852173818
36000	-2034.6488901373807	45.34047942351682	-2079.9893695608976	0.21458178721371857	1.8918287300594396	12.926874358235597	1.0	1.0	-2079.9893695608976	0.0	49.764512109066494
37000	-2035.8197442045243	44.06905048154467	-2079.888794686069	0.21458178721371857	1.9820870453257964	15.285370120636378	1.0	1.0	-2079.888794686069	0.0	48.78305482161779
38000	-2034.3813300358802	44.333923157517845	-2078.715253193398	0.21458178721371857	1.9548865389648276	15.991069517383236	1.0	1.0	-2078.715253193398	0.0	49.12815538305669
39000	-2035.8189439779137	44.121450787008406	-2079.940394764922	0.21458178721371857	1.930872667351706	10.962012906475893	1.0	1.0	-2079.940394764922	0.0	48.2723906959189
40000	-2031.443537825282	45.27074732329675	-2076.7142851485787	0.21458178721371857	1.9021310593045675	15.442999410389639	1.0	1.0	-2076.7142851485787	0.0	50.00290902644714
41000	-2030.6538960409118	45.43271118357356	-2076.0866072244853	0.21458178721371857	1.8959435834160512	14.679741956334144	1.0	1.0	-2076.0866072244853	0.0	50.07562234032387
42000	-2024.378197356955	46.788559183212094	-2071.166756540167	0.18037634847584316	1.794708577378412	13.673379342579743	1.0	1.0	-2071.166756540167	0.0	51.30834284904246
43000	-2025.6680401205076	46.64513182389927	-2072.313171944407	0.1860581739232796	1.7875548786724844	12.797920623376486	1.0	1.0	-2072.313171944407	0.0	51.05221303929649
