# BEAST v10.5.0
# Generated Wed Apr 29 21:44:07 BST 2026 [seed=1777495446164]
# run_sites10_seed3_independent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-2534.646705934965	-1485.5390869410542	-1049.1076189939113	132.10931636488525	751.8009401051771	2.0	1.0	1.0	-1049.1076189939113	0.0	-1483.5006119741151
1000	-912.7796335625567	-124.28167005462174	-788.497963507935	129.58370267136848	673.0500521895996	0.06298179291364546	1.0	1.0	-788.497963507935	0.0	-122.572277283701
2000	-834.6429068205284	-123.95631885467296	-710.6865879658554	133.31412954446193	713.7136965480323	0.040014224160032856	1.0	1.0	-710.6865879658554	0.0	-121.89578807806403
3000	-795.3404914251566	-123.84740142882605	-671.4930899963306	132.71071655315262	688.2543898541057	0.05550913390673761	1.0	1.0	-671.4930899963306	0.0	-122.04942829767316
4000	-770.1484828752842	-124.86390438733895	-645.2845784879453	137.1903093523756	701.8446460493859	0.03074361761782779	1.0	1.0	-645.2845784879453	0.0	-122.55735646433726
5000	-736.9266730479748	-122.72968932231528	-614.1969837256595	132.7068004487786	675.7752070703684	0.03709648332738856	1.0	1.0	-614.1969837256595	0.0	-120.6016436856884
6000	-707.2066287914413	-121.6301191812219	-585.5765096102194	132.42056808123493	660.8343629287554	0.044987904296197166	1.0	1.0	-585.5765096102194	0.0	-119.6690400191487
7000	-694.1219425933384	-122.25166788446835	-571.87027470887	128.18809045954654	669.7594150652259	0.05014401829891459	1.0	1.0	-571.87027470887	0.0	-120.37725375345853
8000	-691.4060811908208	-123.3271939174043	-568.0788872734165	126.87652039763609	673.6417369477413	0.0574815583789672	1.0	1.0	-568.0788872734165	0.0	-121.5544189163779
9000	-669.3583290189015	-120.82377145928683	-548.5345575596147	110.30639120675706	625.4051125324895	0.05975267375149505	1.0	1.0	-548.5345575596147	0.0	-119.07832651725995
10000	-663.4341687443389	-120.64480121246737	-542.7893675318716	112.06990395515612	639.31477703146	0.04714272691491802	1.0	1.0	-542.7893675318716	0.0	-118.72173249002137
11000	-663.2261569379775	-121.25382615505167	-541.9723307829258	109.26971199654844	641.075744277636	0.05574606977072476	1.0	1.0	-541.9723307829258	0.0	-119.45895585569937
12000	-658.4641393348167	-120.90825112677433	-537.5558882080423	109.40951165789095	638.0619169681377	0.05388806773948118	1.0	1.0	-537.5558882080423	0.0	-119.0884636998721
13000	-655.7734238788269	-120.57780586653695	-535.1956180122899	108.30248757808278	637.9079290474323	0.047002078906321305	1.0	1.0	-535.1956180122899	0.0	-118.65233875588152
14000	-656.5300382194409	-121.94916827298837	-534.5808699464526	106.29382598630046	657.9657317250033	0.053584950818593144	1.0	1.0	-534.5808699464526	0.0	-120.12518491530625
15000	-660.8928537703214	-122.61422742601474	-538.2786263443066	106.9143338449096	682.8688101648845	0.044559122064370814	1.0	1.0	-538.2786263443066	0.0	-120.64524785669032
16000	-660.3078113589615	-123.93050071074138	-536.3773106482201	104.68286545255802	697.0402744563894	0.05276752531651199	1.0	1.0	-536.3773106482201	0.0	-122.0950108501383
