# BEAST v10.5.0
# Generated Thu Apr 23 10:07:00 BST 2026 [seed=1776935217379]
# run_sites1000_seed5.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-12987.774931644308	-1406.8589737911573	-11580.91595785315	161.07238104971265	712.4608835302286	2.0	1.0	1.0	-11580.91595785315	0.0	-1404.8204988242182
1000	-9137.26802356726	-121.40340591634869	-9015.86461765091	152.85483285278212	655.6388802000461	0.04658498132104065	1.0	1.0	-9015.86461765091	0.0	-119.47076027977016
2000	-7595.779910314175	-121.71306427249819	-7474.066846041677	155.8351599839473	655.3304733585808	0.05258507314443098	1.0	1.0	-7474.066846041677	0.0	-119.87496729637694
3000	-7052.760245607729	-121.71843665152578	-6931.041808956204	150.12344993646735	631.827280404701	0.03413373897769338	1.0	1.0	-6931.041808956204	0.0	-119.51322762741694
4000	-6611.305352887628	-123.10251199991865	-6488.2028408877095	152.70650224105233	643.6885671324427	0.03066396604085773	1.0	1.0	-6488.2028408877095	0.0	-120.79338905599741
5000	-6395.852357593164	-123.0922195135788	-6272.760138079585	152.22257462736164	650.1727050743476	0.06434708458586877	1.0	1.0	-6272.760138079585	0.0	-121.397163943712
6000	-5756.601248097308	-120.88904232339048	-5635.712205773917	153.68600181931328	642.94005360315	0.04976430975020239	1.0	1.0	-5635.712205773917	0.0	-119.00872746173657
7000	-5627.107990879704	-121.07339774594698	-5506.034593133757	140.25214754752304	620.4962939882926	0.06365112800657893	1.0	1.0	-5506.034593133757	0.0	-119.37109776761083
8000	-5520.606274578688	-119.21616796650979	-5401.390106612178	133.97478472737956	597.7324812640595	0.06020006299703809	1.0	1.0	-5401.390106612178	0.0	-117.47590755343128
9000	-5498.843915446871	-119.17685967181139	-5379.667055775059	130.48498513259767	599.2006145810321	0.05893080685621009	1.0	1.0	-5379.667055775059	0.0	-117.42172305112217
