"RF","tree_id","dataset"
12,1,"independent"
16,2,"independent"
10,3,"independent"
12,4,"independent"
10,5,"independent"
14,6,"independent"
10,7,"independent"
12,8,"independent"
18,9,"independent"
12,10,"independent"
14,11,"independent"
10,12,"independent"
6,13,"independent"
10,14,"independent"
10,15,"independent"
10,16,"independent"
6,17,"independent"
14,18,"independent"
14,19,"independent"
14,20,"independent"
8,21,"independent"
10,22,"independent"
18,23,"independent"
14,24,"independent"
8,25,"independent"
12,26,"independent"
10,27,"independent"
14,28,"independent"
12,29,"independent"
10,30,"independent"
12,31,"independent"
8,32,"independent"
10,33,"independent"
8,34,"independent"
12,35,"independent"
16,36,"independent"
12,37,"independent"
8,38,"independent"
8,39,"independent"
16,40,"independent"
10,41,"independent"
10,42,"independent"
14,43,"independent"
12,44,"independent"
6,45,"independent"
10,46,"independent"
16,47,"independent"
14,48,"independent"
10,49,"independent"
10,50,"independent"
12,51,"independent"
10,52,"independent"
16,53,"independent"
8,54,"independent"
12,55,"independent"
14,56,"independent"
16,57,"independent"
14,58,"independent"
12,59,"independent"
14,60,"independent"
12,61,"independent"
14,62,"independent"
10,63,"independent"
12,64,"independent"
14,65,"independent"
12,66,"independent"
12,67,"independent"
12,68,"independent"
12,69,"independent"
12,70,"independent"
10,71,"independent"
14,72,"independent"
14,73,"independent"
10,74,"independent"
10,75,"independent"
6,76,"independent"
14,77,"independent"
14,78,"independent"
10,79,"independent"
14,80,"independent"
12,81,"independent"
16,82,"independent"
8,83,"independent"
6,84,"independent"
16,85,"independent"
14,86,"independent"
10,87,"independent"
8,88,"independent"
8,89,"independent"
16,90,"independent"
14,91,"independent"
14,92,"independent"
12,93,"independent"
14,94,"independent"
8,95,"independent"
16,96,"independent"
8,97,"independent"
12,98,"independent"
14,99,"independent"
10,100,"independent"
12,101,"independent"
10,102,"independent"
12,103,"independent"
10,104,"independent"
10,105,"independent"
18,106,"independent"
10,107,"independent"
12,108,"independent"
10,109,"independent"
12,110,"independent"
8,111,"independent"
12,112,"independent"
12,113,"independent"
12,114,"independent"
8,115,"independent"
12,116,"independent"
14,117,"independent"
10,118,"independent"
14,119,"independent"
