# BEAST v10.5.0
# Generated Wed Apr 29 21:46:27 BST 2026 [seed=1777495585544]
# run_sites10_seed5_dependent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-1857.9265904966235	-1693.319715609937	-164.6068748866865	185.6898659877668	855.6912544396183	2.0	1.0	1.0	-164.6068748866865	0.0	-1691.281240642998
1000	-281.6611798754601	-128.72648394348684	-152.9346959319733	182.5172659489501	828.4051471901209	0.04184786759091927	1.0	1.0	-152.9346959319733	0.0	-126.70470758328632
2000	-266.8419562571713	-128.5202122104443	-138.321744046727	179.24972967833654	822.5548489683382	0.03111600955786777	1.0	1.0	-138.321744046727	0.0	-126.22557619096298
3000	-259.2838243170298	-127.73662722282711	-131.54719709420272	169.42961768003832	810.2125122083783	0.03558858486743392	1.0	1.0	-131.54719709420272	0.0	-125.57049667908434
4000	-259.56116451395775	-128.36346572692946	-131.1976987870283	171.66558776485147	822.508654037177	0.03239244798197474	1.0	1.0	-131.1976987870283	0.0	-126.10813793016234
5000	-247.40186126357617	-127.2476941706814	-120.15416709289477	164.76873642397288	795.9991612230482	0.0399895343025159	1.0	1.0	-120.15416709289477	0.0	-125.18662330715304
6000	-235.64352814693703	-128.93159084492112	-106.71193730201591	160.35167922174688	780.2569209517976	0.02517560083540262	1.0	1.0	-106.71193730201591	0.0	-126.417956045952
7000	-227.92162814458317	-124.94243311508039	-102.97919502950278	155.87126550285797	737.7375380271328	0.04221850004758878	1.0	1.0	-102.97919502950278	0.0	-122.92817844760283
8000	-223.81417744932983	-125.80799194035944	-98.00618550897039	154.02315455055728	739.5279259028193	0.050534685295174894	1.0	1.0	-98.00618550897039	0.0	-123.93957588968145
9000	-209.27289853638246	-124.72156839824713	-84.55133013813534	156.44393396909985	730.8873798943263	0.037883886683033524	1.0	1.0	-84.55133013813534	0.0	-122.61250759056952
10000	-213.8760966249274	-123.98070896151302	-89.8953876634144	147.79770221441387	709.2342513400056	0.04763663583275601	1.0	1.0	-89.8953876634144	0.0	-122.06597520065338
11000	-210.62195896114298	-122.95127693998504	-87.67068202115794	148.66310834795183	679.4640819090907	0.03646329856773078	1.0	1.0	-87.67068202115794	0.0	-120.8075239305129
12000	-220.65060123692683	-122.2540237387392	-98.39657749818761	140.72883971151572	674.8060237039599	0.04426485325860057	1.0	1.0	-98.39657749818761	0.0	-120.27955423000542
13000	-223.55616994446916	-124.22778096369224	-99.32838898077692	143.0511192063877	694.3378703603255	0.055775847379098346	1.0	1.0	-99.32838898077692	0.0	-122.43329911978253
14000	-226.4776125458281	-124.21997898245725	-102.25763356337086	147.9924224127117	719.241865154819	0.03890030915178744	1.0	1.0	-102.25763356337086	0.0	-122.13457025966595
15000	-223.86781837487456	-124.54874271936475	-99.31907565550979	147.5306317175148	722.9588872173314	0.036346907775115705	1.0	1.0	-99.31907565550979	0.0	-122.4020582533613
16000	-228.41020495381767	-124.81238766513653	-103.59781728868114	143.21448274052713	734.6361265813372	0.03910360885422481	1.0	1.0	-103.59781728868114	0.0	-122.73159877147157
17000	-235.56298058438205	-123.9859496593247	-111.57703092505736	141.68465024970826	705.0419488631072	0.049824567996814985	1.0	1.0	-111.57703092505736	0.0	-122.10657593833587
18000	-231.8821720786783	-124.76988556903684	-107.11228650964148	138.68112863109704	731.3525103764688	0.03739718848161874	1.0	1.0	-107.11228650964148	0.0	-122.6491604756476
19000	-246.9865950776324	-125.27582060180862	-121.71077447582377	137.77513545191186	736.2935572877019	0.03419393377396594	1.0	1.0	-121.71077447582377	0.0	-123.07227688071556
20000	-247.46068201917106	-125.79582559731095	-121.66485642186011	149.61005101349056	757.5049305419655	0.04257120067611962	1.0	1.0	-121.66485642186011	0.0	-123.7886359602168
21000	-245.76957695739125	-127.63762571125281	-118.13195124613844	145.18937112275378	792.2571952638281	0.04569433203801688	1.0	1.0	-118.13195124613844	0.0	-125.68931275169608
22000	-248.8136375556649	-127.57298364947687	-121.24065390618804	141.37260923012627	797.6220172443232	0.04325007015545342	1.0	1.0	-121.24065390618804	0.0	-125.57914448526179
23000	-254.99817109007634	-128.85291930557557	-126.14525178450077	140.80199307927407	841.5392883781932	0.03521926820827486	1.0	1.0	-126.14525178450077	0.0	-126.6770945671919
24000	-270.87235664522564	-131.91329062889548	-138.95906601633015	138.89096305198873	858.3999795918393	0.022650245077737035	1.0	1.0	-138.95906601633015	0.0	-129.28292351265188
25000	-257.7199916480405	-128.88697716786393	-128.8330144801766	142.82719811756243	840.7913538831363	0.03791891705445816	1.0	1.0	-128.8330144801766	0.0	-126.7787472681138
26000	-256.4021492270772	-129.177432015278	-127.22471721179917	148.28709038141452	848.3365020644851	0.032705741304308734	1.0	1.0	-127.22471721179917	0.0	-126.93140877714148
27000	-253.09822679362654	-129.64806081779926	-123.45016597582728	144.95075025989223	862.9027688033651	0.03664315902997776	1.0	1.0	-123.45016597582728	0.0	-127.50881060461494
28000	-247.4735201886856	-128.66853413507602	-118.80498605360958	135.12432168401747	835.259318826653	0.03772491498516157	1.0	1.0	-118.80498605360958	0.0	-126.55568810158383
29000	-253.1333278647828	-128.74445840054526	-124.38886946423757	128.75053993649055	836.6270260302728	0.038218976002811794	1.0	1.0	-124.38886946423757	0.0	-126.64329907976574
30000	-248.09166002967436	-129.26743062700308	-118.82422940267128	126.73018329916115	832.7962674860324	0.044389910813763624	1.0	1.0	-118.82422940267128	0.0	-127.29530104914267
31000	-249.43487083344854	-129.92649385000843	-119.50837698344012	127.36609762954996	854.5247845072716	0.04257391577161638	1.0	1.0	-119.50837698344012	0.0	-127.91935825349363
32000	-256.2367960832347	-129.83986474212534	-126.39693134110938	135.486535665909	869.7045149625616	0.03490541739434934	1.0	1.0	-126.39693134110938	0.0	-127.65568293752659
33000	-260.35540203662185	-130.742768702613	-129.61263333400888	125.08123734870226	854.4611701732224	0.02534495963930949	1.0	1.0	-129.61263333400888	0.0	-128.2363704572129
34000	-259.4107233231444	-130.30133628430116	-129.10938703884324	129.23513333285297	879.9795854544302	0.031185036167551142	1.0	1.0	-129.10938703884324	0.0	-128.00888556679502
35000	-264.9297723770545	-131.99233764924526	-132.93743472780926	127.8009098268401	919.2849223742744	0.027068114624350652	1.0	1.0	-132.93743472780926	0.0	-129.55587560352205
36000	-256.6327748861343	-131.16998310372318	-125.46279178241113	121.91078882325765	894.3943572174297	0.027809048360049014	1.0	1.0	-125.46279178241113	0.0	-128.76167702211552
37000	-259.1153537897851	-129.27287466328283	-129.8424791265023	118.72229514490282	852.8310012005917	0.036465396298442615	1.0	1.0	-129.8424791265023	0.0	-127.12917436044896
38000	-262.4786372092275	-130.35726078190075	-132.1213764273267	119.90342899547065	878.449154670901	0.038366304204182036	1.0	1.0	-132.1213764273267	0.0	-128.25954277556664
39000	-264.34847353401017	-131.69169694702822	-132.65677658698198	125.8950786495228	902.36988421581	0.026362137141056754	1.0	1.0	-132.65677658698198	0.0	-129.22736706658665
40000	-263.5876841939347	-130.52767025216335	-133.06001394177136	131.33987789226353	887.0012437982773	0.036594150859545996	1.0	1.0	-133.06001394177136	0.0	-128.38719638203975
41000	-254.85046387732575	-129.6473417851849	-125.20312209214086	131.50686273588045	857.671182005262	0.030805506878808033	1.0	1.0	-125.20312209214086	0.0	-127.34278799334032
42000	-262.4138888102379	-132.72886953472522	-129.68501927551267	139.53136618353525	879.479576502312	0.021934554957390627	1.0	1.0	-129.68501927551267	0.0	-130.06206208270407
43000	-264.53419737956256	-133.60951839492165	-130.92467898464093	148.24618265702603	901.1995242669556	0.049325734939215306	1.0	1.0	-130.92467898464093	0.0	-131.72229935161937
44000	-258.6514500437069	-131.59704230931706	-127.05440773438986	145.90310988405827	864.2736122047828	0.04857876765867131	1.0	1.0	-127.05440773438986	0.0	-129.697839967426
45000	-259.934784381202	-129.89897000545318	-130.0358143757488	142.96567117929462	866.065208606609	0.03087083174917612	1.0	1.0	-130.0358143757488	0.0	-127.59651475818059
46000	-249.89903851689692	-129.5006496453446	-120.39838887155233	135.2447842971747	859.1637798897455	0.036382027606511616	1.0	1.0	-120.39838887155233	0.0	-127.35485118551273
47000	-251.1899758071678	-128.54741991018003	-122.64255589698779	135.73704195762602	825.1967781489609	0.03153260070712931	1.0	1.0	-122.64255589698779	0.0	-126.26586694247268
48000	-232.36877406350857	-128.43619848732166	-103.93257557618692	134.33939173491285	829.9268409582594	0.03626137595140767	1.0	1.0	-103.93257557618692	0.0	-126.28735089148637
49000	-247.2492462532519	-130.70767205541307	-116.54157419783883	128.63201550510104	839.4671890382334	0.04992374484392356	1.0	1.0	-116.54157419783883	0.0	-128.82984343443354
50000	-244.35593532806644	-129.5944188793417	-114.76151644872472	131.6208274928793	829.8244263035576	0.026984407262662605	1.0	1.0	-114.76151644872472	0.0	-127.15470684500542
51000	-229.9171934234614	-129.92180276845525	-99.99539065500616	135.64832241504195	834.2853082849555	0.026281038853029515	1.0	1.0	-99.99539065500616	0.0	-127.4542037247036
52000	-235.72562160751596	-129.3263585268021	-106.39926308071387	141.6210657565748	854.9828957322947	0.03481146926967073	1.0	1.0	-106.39926308071387	0.0	-127.13965352465864
53000	-233.05981781514876	-129.34007675487814	-103.71974106027062	138.75766847986452	826.3527787826177	0.046498737554014714	1.0	1.0	-103.71974106027062	0.0	-127.40593435551247
54000	-238.25132395288466	-130.564876991625	-107.68644696125966	143.13752772052675	876.68100237356	0.0406574873942908	1.0	1.0	-107.68644696125966	0.0	-128.51824258085102
55000	-238.9418886781175	-129.6476715881221	-109.2942170899954	138.74896726995445	864.0956493419292	0.03405984539510666	1.0	1.0	-109.2942170899954	0.0	-127.44041236872921
