# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1907.749892442996	-8.31073008676736	-1899.4391623562287	1.7188412763526255	-1.7188412763526255	5.118260979707733	1.0	0.001	0.0010000000000000002	-1899.4391623562287	0.0	-5.088445246199715
1000	-456.124345446114	-24.018803006544907	-432.1055424395691	36.35416982706583	-36.35416982706583	91.57776473573621	6.1168767920985685	0.01625815708383289	0.01625815708383289	-432.1055424395691	0.0	-17.546282785658818
2000	-442.6451178906521	-19.589833913202995	-423.0552839774491	15.138008525155902	-15.138008525155902	35.03641820244101	10.699600349168373	0.09337990330962917	0.09337990330962916	-423.0552839774491	0.0	-9.41688278414415
3000	-445.39280397674	-20.87998624996749	-424.51281772677254	33.99811251272392	-33.99811251272392	75.0229244247724	15.214307304885157	0.041130591517382846	0.04113059151738285	-424.51281772677254	0.0	-11.327467501722293
4000	-444.0400657759037	-19.8103170688362	-424.22974870706753	20.115622527303426	-20.115622527303426	46.463669062188075	7.367288073284843	0.06805516818218625	0.06805516818218625	-424.22974870706753	0.0	-10.422406415676557
5000	-445.92933185021315	-18.7356748888107	-427.19365696140244	17.06545852145509	-17.06545852145509	37.55034126208629	6.114533417394047	0.08345214084667393	0.08345214084667393	-427.19365696140244	0.0	-9.355176828221003
6000	-442.2862621139043	-19.430704296093687	-422.8555578178106	11.96657161445593	-11.96657161445593	27.259562815752133	10.967652164426053	0.12314881082823811	0.12314881082823811	-422.8555578178106	0.0	-8.883630137717557
7000	-442.81481795494386	-19.083223105683135	-423.7315948492607	5.370184514908478	-5.370184514908478	13.20184500838053	11.696057507434757	0.22085078951153644	0.22085078951153647	-423.7315948492607	0.0	-8.257957283115424
8000	-444.0930350685617	-21.60539559039352	-422.48763947816815	20.45160421738981	-20.45160421738981	44.92188875378156	16.794675370672277	0.09371832025252362	0.09371832025252362	-422.48763947816815	0.0	-10.16009792512822
9000	-444.51780810312175	-20.10270105382572	-424.415107049296	15.208777926430326	-15.208777926430326	38.235115082050854	15.34169952524	0.07321234711735787	0.07321234711735788	-424.415107049296	0.0	-10.202854013692287
