# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-736.8003845374518	-207.2359387840213	-529.5644457534305	40.680655257374276	102.25219531925936	2.0	0.5	1.0	1.0	-529.5644457534305	0.0	-205.19746381708222
10000	-498.85075781873	-3.080969024956114	-495.7697887937739	0.3204487373667773	1.1480865397857438	3.249543590280617	0.23484134753506913	1.0	1.0	-495.7697887937739	0.0	-0.5709691763603284
20000	-498.193057531033	-2.6931899923979827	-495.499867538635	0.3429917731994328	1.2510784989191044	0.46652881018333464	0.5854166078269022	1.0	1.0	-495.499867538635	0.0	-1.4409598756889628
30000	-501.8067556540193	-2.455649530916517	-499.3511061231028	0.40982761986662797	1.2603516042012044	1.549320008844474	0.03915375466629893	1.0	1.0	-499.3511061231028	0.0	-0.6231962693692672
40000	-501.6285085127136	-3.5730001749392337	-498.05550833777437	0.4262250171167739	1.526394372581643	2.47961086994768	0.18189513597967122	1.0	1.0	-498.05550833777437	0.0	-1.3386181578259255
50000	-500.87878087884474	-2.9509863644757193	-497.927794514369	0.41455676839067146	1.562805348307536	1.2477683654766734	0.27523850076255857	1.0	1.0	-497.927794514369	0.0	-1.2704959707162577
60000	-501.36214844867	-4.7660176806835555	-496.59613076798644	0.35455855958039284	1.3756997040156151	4.238014415111409	0.1684763679601822	1.0	1.0	-496.59613076798644	0.0	-1.9536924568520941
70000	-502.1429007471382	-3.971644445563848	-498.1712563015743	0.4163931659648065	1.5544914222987114	2.961197562330784	0.1098449775135473	1.0	1.0	-498.1712563015743	0.0	-1.560018970715253
80000	-500.47495010802277	-2.2396050537325864	-498.2353450542902	0.3562896774388898	1.2081651317975244	0.7298718672576392	0.6042884506309132	1.0	1.0	-498.2353450542902	0.0	-0.8458819322371331
90000	-499.5226037704731	-2.5287726000076365	-496.99383117046546	0.26834240710017626	1.0498563331801	0.8537292009532468	0.8581078798936199	1.0	1.0	-496.99383117046546	0.0	-1.0644454980740785
100000	-499.1665747576824	-3.1631913258611384	-496.00338343182125	0.31709431836864205	1.2127436165502554	2.1422714569663963	0.5344230266733232	1.0	1.0	-496.00338343182125	0.0	-1.0643193296896134
110000	-499.25513049351457	-3.082699406153044	-496.17243108736153	0.3437219182829977	1.2545617421919766	2.8305011100048416	0.20542640243815488	1.0	1.0	-496.17243108736153	0.0	-0.7174783299123723
120000	-497.7197698745438	-2.3466277898427577	-495.373142084701	0.32000572419330825	1.211401335449991	0.8915591692382108	0.45023925486244776	1.0	1.0	-495.373142084701	0.0	-0.8608426902746288
