# BEAST v10.5.0
# Generated Thu Apr 16 10:09:12 BST 2026 [seed=1776330544221]
# pytesting/pytesting.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-9631.624946433203	-2905.21269664528	-6726.412249787923	544.0104935627404	1461.6377449572897	2.0	1.0	1.0	-6726.412249787923	0.0	-2903.174221678341
1000	-5274.503705781701	-146.02786211642217	-5128.475843665278	551.0671374055812	1401.1118933181428	0.02993336900432558	1.0	1.0	-5128.475843665278	0.0	-143.6946599382261
2000	-4135.963327606697	-143.15987719378236	-3992.8034504129146	547.1093850533612	1353.3665307225465	0.023424817799058705	1.0	1.0	-3992.8034504129146	0.0	-140.56718203686754
3000	-3896.2950002935804	-143.7666440115253	-3752.528356282055	548.0066109715507	1365.0469835912713	0.018748804129775906	1.0	1.0	-3752.528356282055	0.0	-140.91513246529968
4000	-3754.982186896344	-143.75426662066974	-3611.2279202756745	543.24456544126	1359.0310653229842	0.018375345511396354	1.0	1.0	-3611.2279202756745	0.0	-140.87828287687375
5000	-3686.3609436655233	-143.35550278895283	-3543.0054408765704	537.4042770895051	1363.5069115692208	0.021526689074787133	1.0	1.0	-3543.0054408765704	0.0	-140.66718041650816
6000	-3571.419441033917	-143.87559870238863	-3427.543842331528	536.8361801944122	1374.0082146636432	0.01900999605147299	1.0	1.0	-3427.543842331528	0.0	-141.04081031094896
7000	-3508.9755468582407	-143.58472098724906	-3365.3908258709916	534.1467800993269	1359.67265606429	0.025555121577624716	1.0	1.0	-3365.3908258709916	0.0	-141.08720838074453
8000	-3502.881510221277	-143.51909616912957	-3359.3624140521474	526.9926624521393	1363.6228521201915	0.019842855199152	1.0	1.0	-3359.3624140521474	0.0	-140.73559781160537
9000	-3501.719100074302	-143.2297556008769	-3358.489344473425	524.6190600157056	1358.1258086632815	0.022552645975859455	1.0	1.0	-3358.489344473425	0.0	-140.59451412396285
10000	-3474.7270164915553	-142.41239536916694	-3332.3146211223884	518.1286138311573	1319.0015019667142	0.02438936430681079	1.0	1.0	-3332.3146211223884	0.0	-139.86424394518244
11000	-3444.4763228336205	-142.9337672888876	-3301.5425555447327	511.08937598233626	1310.024645115403	0.028644227109114025	1.0	1.0	-3301.5425555447327	0.0	-140.55594069569537
12000	-3408.366376694089	-141.9685704902243	-3266.3978062038645	509.49795327172416	1298.2807537915169	0.021367136907457954	1.0	1.0	-3266.3978062038645	0.0	-139.27167728925787
