"RF","tree_id","dataset"
36,1,"independent"
38,2,"independent"
32,3,"independent"
32,4,"independent"
34,5,"independent"
36,6,"independent"
30,7,"independent"
40,8,"independent"
38,9,"independent"
32,10,"independent"
36,11,"independent"
34,12,"independent"
26,13,"independent"
34,14,"independent"
36,15,"independent"
34,16,"independent"
34,17,"independent"
38,18,"independent"
32,19,"independent"
36,20,"independent"
40,21,"independent"
32,22,"independent"
30,23,"independent"
30,24,"independent"
36,25,"independent"
38,26,"independent"
36,27,"independent"
30,28,"independent"
36,29,"independent"
30,30,"independent"
36,31,"independent"
30,32,"independent"
34,33,"independent"
28,34,"independent"
32,35,"independent"
32,36,"independent"
30,37,"independent"
36,38,"independent"
34,39,"independent"
36,40,"independent"
36,41,"independent"
36,42,"independent"
34,43,"independent"
36,44,"independent"
38,45,"independent"
34,46,"independent"
34,47,"independent"
38,48,"independent"
34,49,"independent"
34,50,"independent"
32,51,"independent"
38,52,"independent"
40,53,"independent"
32,54,"independent"
36,55,"independent"
36,56,"independent"
38,57,"independent"
34,58,"independent"
32,59,"independent"
34,60,"independent"
38,61,"independent"
34,62,"independent"
32,63,"independent"
36,64,"independent"
32,65,"independent"
30,66,"independent"
32,67,"independent"
34,68,"independent"
28,69,"independent"
36,70,"independent"
34,71,"independent"
38,72,"independent"
38,73,"independent"
36,74,"independent"
34,75,"independent"
32,76,"independent"
36,77,"independent"
34,78,"independent"
34,79,"independent"
30,80,"independent"
34,81,"independent"
42,82,"independent"
40,83,"independent"
44,84,"independent"
38,85,"independent"
30,86,"independent"
34,87,"independent"
38,88,"independent"
36,89,"independent"
36,90,"independent"
32,91,"independent"
36,92,"independent"
32,93,"independent"
40,94,"independent"
34,95,"independent"
36,96,"independent"
32,97,"independent"
34,98,"independent"
30,99,"independent"
24,100,"independent"
36,101,"independent"
36,102,"independent"
28,103,"independent"
30,104,"independent"
36,105,"independent"
34,106,"independent"
34,107,"independent"
34,108,"independent"
30,109,"independent"
38,110,"independent"
34,111,"independent"
34,112,"independent"
32,113,"independent"
30,114,"independent"
34,115,"independent"
32,116,"independent"
30,117,"independent"
36,118,"independent"
34,119,"independent"
34,120,"independent"
34,121,"independent"
34,122,"independent"
34,123,"independent"
28,124,"independent"
30,125,"independent"
28,126,"independent"
30,127,"independent"
30,128,"independent"
38,129,"independent"
38,130,"independent"
40,131,"independent"
28,132,"independent"
30,133,"independent"
34,134,"independent"
28,135,"independent"
32,136,"independent"
28,137,"independent"
28,138,"independent"
36,139,"independent"
30,140,"independent"
34,141,"independent"
36,142,"independent"
30,143,"independent"
36,144,"independent"
32,145,"independent"
36,146,"independent"
34,147,"independent"
38,148,"independent"
32,149,"independent"
32,150,"independent"
36,151,"independent"
30,152,"independent"
32,153,"independent"
36,154,"independent"
32,155,"independent"
36,156,"independent"
38,157,"independent"
36,158,"independent"
24,159,"independent"
36,160,"independent"
32,161,"independent"
32,162,"independent"
34,163,"independent"
30,164,"independent"
