# BEAST v10.5.0
# Generated Wed Apr 29 21:45:36 BST 2026 [seed=1777495534181]
# run_sites200_seed3_independent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-10119.817586400592	-1254.2642868390583	-8865.553299561534	183.31974405489822	636.1635400541788	2.0	1.0	1.0	-8865.553299561534	0.0	-1252.2258118721193
1000	-6696.53225400262	-117.46812538802433	-6579.064128614596	179.33642165403847	568.6442472627559	0.060240700939086005	1.0	1.0	-6579.064128614596	0.0	-115.72833277380002
2000	-5605.993048891535	-114.42547967515655	-5491.567569216379	177.75939019716742	518.5901363307825	0.055763561276463994	1.0	1.0	-5491.567569216379	0.0	-112.63083759683484
3000	-4939.418978307615	-113.6146038039926	-4825.804374503623	181.95758811636514	492.0091538764632	0.04777414389548305	1.0	1.0	-4825.804374503623	0.0	-111.70216666240887
4000	-4354.3787809804635	-113.442976084419	-4240.935804896045	181.30263168012948	486.6230820496768	0.07734266363398169	1.0	1.0	-4240.935804896045	0.0	-111.86250238334337
5000	-4103.300133012225	-111.79948560559991	-3991.5006474066254	182.5964059768158	474.77055617939914	0.06383281270122586	1.0	1.0	-3991.5006474066254	0.0	-110.09908952885826
6000	-3998.9178313599978	-111.42823339883327	-3887.4895979611647	182.9405692813712	461.30306106319216	0.07660960412636258	1.0	1.0	-3887.4895979611647	0.0	-109.84219695613463
7000	-3869.3915781056985	-111.41869904862762	-3757.9728790570707	187.91175621080464	464.3795284614067	0.055531679719234894	1.0	1.0	-3757.9728790570707	0.0	-109.6210220871249
8000	-3600.972423067451	-110.24569227878582	-3490.726730788665	185.67844242732903	450.5840438778086	0.06474618277233993	1.0	1.0	-3490.726730788665	0.0	-108.55473232964661
9000	-3542.5002449145354	-109.05976745223265	-3433.4404774623026	179.4921720672017	430.7246759723407	0.07600776997526215	1.0	1.0	-3433.4404774623026	0.0	-107.46909360871986
10000	-3447.637117742223	-109.73675297596623	-3337.9003647662566	182.75603905311843	442.91153982525304	0.0680696107706163	1.0	1.0	-3337.9003647662566	0.0	-108.07832400052227
11000	-3437.528647884935	-110.00153419236759	-3327.527113692567	178.4014107121071	438.3754945306544	0.05525826648679148	1.0	1.0	-3327.527113692567	0.0	-108.20025247112062
12000	-3416.429810202638	-111.71659603617206	-3304.7132141664656	173.95890539941453	445.87552339529014	0.046153446185864665	1.0	1.0	-3304.7132141664656	0.0	-109.77641774452107
13000	-3394.114518227903	-110.66538350811784	-3283.449134719785	176.85045005834883	453.2573937420042	0.05738446687352141	1.0	1.0	-3283.449134719785	0.0	-108.8914009992744
14000	-3388.36822013869	-108.85893565186767	-3279.5092844868223	174.47217971024224	429.1661180383606	0.0647471393521573	1.0	1.0	-3279.5092844868223	0.0	-107.16798546862356
15000	-3380.0884090459494	-105.30288002539508	-3274.7855290205543	160.68358061168462	380.1310188501019	0.0842327887595867	1.0	1.0	-3274.7855290205543	0.0	-103.77045534360629
16000	-3114.404458126586	-105.78136560408828	-3008.6230925224977	163.65667358455264	383.9059287903169	0.0881328324982626	1.0	1.0	-3008.6230925224977	0.0	-104.27311104637069
17000	-3025.869321776695	-105.28904039099484	-2920.5802813857003	156.2813413289472	381.07774902680563	0.07958357410387756	1.0	1.0	-2920.5802813857003	0.0	-103.7250086032571
18000	-2983.444786474112	-103.32976198942409	-2880.1150244846876	150.67441785255403	352.97898412621157	0.09642761122516864	1.0	1.0	-2880.1150244846876	0.0	-101.86683840348034
19000	-2982.7475657308996	-103.13156785736106	-2879.6159978735386	150.67840492683737	351.52759337555864	0.07389973769096916	1.0	1.0	-2879.6159978735386	0.0	-101.52413095747046
20000	-2962.931432034005	-101.73202255411238	-2861.1994094798924	144.87101737121375	337.275499727521	0.08207895609491504	1.0	1.0	-2861.1994094798924	0.0	-100.18535579171613
21000	-2964.5024785220394	-101.31537944364703	-2863.1870990783923	145.0311460723317	333.12604228165424	0.09091062965770128	1.0	1.0	-2863.1870990783923	0.0	-99.8231703137034
22000	-2955.7022650655013	-101.34563786417291	-2854.356627201328	142.34024768750226	332.5849965172907	0.08212981879531576	1.0	1.0	-2854.356627201328	0.0	-99.79931519689421
