# BEAST v10.5.0
# Generated Thu Apr 23 02:13:42 BST 2026 [seed=1776906807622]
# run_sites200_seed5.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-4967.144127134297	-2411.5223133051786	-2555.6218138291188	372.2229320802809	1214.7925532872387	2.0	1.0	1.0	-2555.6218138291188	0.0	-2409.4838383382394
1000	-2111.5048800591694	-138.5681934070999	-1972.9366866520693	363.09166120717157	1157.4303027695034	0.02343980516319316	1.0	1.0	-1972.9366866520693	0.0	-135.9762099541845
2000	-1941.9271984312184	-138.09982972469	-1803.8273687065284	360.4767814362265	1130.9955189737443	0.031008364854491568	1.0	1.0	-1803.8273687065284	0.0	-135.80177173064664
3000	-1871.9020365605543	-137.25004785894805	-1734.6519887016063	357.58210416545705	1109.7503896396763	0.024920741092629574	1.0	1.0	-1734.6519887016063	0.0	-134.725392690085
4000	-1749.2094497647088	-136.89037663961534	-1612.3190731250934	351.7236237291203	1097.9960781719367	0.025648619252206368	1.0	1.0	-1612.3190731250934	0.0	-134.39678398443826
5000	-1586.1451580728296	-136.13624448320843	-1450.0089135896212	353.4070812393796	1072.519359438574	0.027177402261318706	1.0	1.0	-1450.0089135896212	0.0	-133.70400412035298
6000	-1515.2648849677585	-136.1973899481279	-1379.0674950196305	364.08256457260336	1069.3317201438556	0.025271643355439074	1.0	1.0	-1379.0674950196305	0.0	-133.68786736700602
7000	-1485.492915802804	-136.44071642472238	-1349.0521993780817	370.38125306528167	1080.0977170880453	0.025549268746031955	1.0	1.0	-1349.0521993780817	0.0	-133.9429577600951
8000	-1385.0837715979328	-135.40927605490552	-1249.6744955430272	363.9050932077861	1040.3932827610495	0.02567652815231563	1.0	1.0	-1249.6744955430272	0.0	-132.91684958426816
9000	-1364.7266522152365	-135.6655974283747	-1229.0610547868619	363.94437777493175	1056.310398976468	0.02852138171096704	1.0	1.0	-1229.0610547868619	0.0	-133.28336798257948
10000	-1354.9436125710256	-136.38750657360256	-1218.556105997423	370.17242202837497	1066.7217833429472	0.03313750197891673	1.0	1.0	-1218.556105997423	0.0	-134.1540949882913
11000	-1320.1262691633788	-136.84856813899424	-1183.2777010243844	374.846430523877	1092.2271266007233	0.030593900912306373	1.0	1.0	-1183.2777010243844	0.0	-134.537172072913
12000	-1313.215027365758	-138.08590437159012	-1175.129122994168	377.3737569035585	1090.009251204593	0.019851944398975686	1.0	1.0	-1175.129122994168	0.0	-135.30294938837977
13000	-1296.8331833822704	-136.31239357013044	-1160.52078981214	369.9854238682079	1076.803997577663	0.029825383792271617	1.0	1.0	-1160.52078981214	0.0	-133.97556034209748
14000	-1227.1844436860433	-135.45327081330942	-1091.7311728727339	366.30053144068	1047.5852563658104	0.030093012154183682	1.0	1.0	-1091.7311728727339	0.0	-133.12540221959526
15000	-1171.8001798496107	-136.8091157149974	-1034.9910641346132	364.01623902529525	1030.005525683949	0.040692822281972824	1.0	1.0	-1034.9910641346132	0.0	-134.76323501114874
16000	-1162.9531066799009	-134.56033131391865	-1028.3927753659823	365.7772756331451	1002.5724120614915	0.03545037769657638	1.0	1.0	-1028.3927753659823	0.0	-132.39059045546674
17000	-1158.5961620488372	-134.45900290452056	-1024.1371591443167	368.47096570879916	1003.4827214221082	0.02569169393542606	1.0	1.0	-1024.1371591443167	0.0	-131.96720939056846
18000	-1163.7356368877834	-134.72883692383607	-1029.0067999639473	367.2449213635421	986.7561566592917	0.03935977943487442	1.0	1.0	-1029.0067999639473	0.0	-132.6538181895879
19000	-1159.7903818798843	-134.9541395055941	-1024.8362423742901	369.30957330540184	987.7173519560513	0.04015355283598468	1.0	1.0	-1024.8362423742901	0.0	-132.89664712850765
20000	-1147.8038907431503	-134.20641078921741	-1013.597479953933	369.17745634163913	990.6518347139458	0.03590265490035633	1.0	1.0	-1013.597479953933	0.0	-132.04840792155662
21000	-1153.769518355677	-134.048411297097	-1019.7211070585801	367.74104762863465	990.3572136017776	0.03488362858553859	1.0	1.0	-1019.7211070585801	0.0	-131.86364519559368
22000	-1146.4651368838668	-136.06650479758213	-1010.3986320862846	376.7712763486827	1003.9653359865363	0.04182445176865488	1.0	1.0	-1010.3986320862846	0.0	-134.0442498305728
23000	-1138.4525510552548	-133.9577557078252	-1004.4947953474295	370.6913391286024	980.4230296012317	0.0366637395339019	1.0	1.0	-1004.4947953474295	0.0	-131.8190186325426
24000	-1134.6386373608918	-132.77263329165143	-1001.8660040692404	365.2365397018693	959.1735299248156	0.03092962504367092	1.0	1.0	-1001.8660040692404	0.0	-130.47206127023142
25000	-1092.1148825438734	-132.31979958819082	-959.7950829556825	361.32822028942593	940.6625786289715	0.0349427080841756	1.0	1.0	-959.7950829556825	0.0	-130.13661653748738
26000	-1064.0173904808967	-131.43585399508805	-932.5815364858086	355.5020672058013	917.2754336357436	0.03318277835897941	1.0	1.0	-932.5815364858086	0.0	-129.20375099982257
27000	-1054.6252231506417	-130.98971116401347	-923.6355119866281	350.4514375569333	900.3255616067486	0.0362714372582656	1.0	1.0	-923.6355119866281	0.0	-128.84111841494646
28000	-1017.809442768138	-131.98650492741388	-885.8229378407241	358.11639436285617	903.896676543966	0.042365320393293535	1.0	1.0	-885.8229378407241	0.0	-129.97520213770397
29000	-1012.2663527387235	-131.4716877423402	-880.7946649963833	354.87898548674247	906.3880380465387	0.03869193656622358	1.0	1.0	-880.7946649963833	0.0	-129.3815061578954
30000	-1018.0958359968378	-131.15034440064142	-886.9454915961963	355.18876397357997	904.8678686464913	0.03018276403917766	1.0	1.0	-886.9454915961963	0.0	-128.82545646251143
31000	-1010.3454380400407	-131.1147985504305	-879.2306394896102	350.8433314530947	889.8099070913846	0.027443077087277525	1.0	1.0	-879.2306394896102	0.0	-128.6927208395403
