# BEAST v10.5.0
# Generated Wed Apr 29 21:46:24 BST 2026 [seed=1777495583216]
# run_sites20_seed1_dependent.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-3192.8442366925838	-1896.2507972480291	-1296.5934394445549	196.52785517407852	957.1567952586643	2.0	1.0	1.0	-1296.5934394445549	0.0	-1894.21232228109
1000	-1328.8404440990823	-130.77756879792085	-1198.0628753011615	199.33924889851127	895.7797720259389	0.03550926817407884	1.0	1.0	-1198.0628753011615	0.0	-128.60936884600042
2000	-1178.9313132232876	-131.85245051426554	-1047.0788627090221	195.65814733772612	926.5480965030231	0.0352912507733699	1.0	1.0	-1047.0788627090221	0.0	-129.67852700434466
3000	-1142.7766439570082	-129.50600247025562	-1013.2706414867525	189.68561456618673	856.7443829114893	0.03811937076209101	1.0	1.0	-1013.2706414867525	0.0	-127.40250528638646
4000	-1105.75510116025	-129.18966272309993	-976.5654384371501	188.89128830945154	846.4706093309342	0.03181845391308516	1.0	1.0	-976.5654384371501	0.0	-126.91694259938319
5000	-1098.4510651333776	-130.43343177333853	-968.017633360039	192.29374350433076	886.7750233877972	0.032745984303672336	1.0	1.0	-968.017633360039	0.0	-128.1885942886651
6000	-1017.0949356148494	-129.56651896274315	-887.5284166521062	187.11516446156384	861.8559576307734	0.03501469440974903	1.0	1.0	-887.5284166521062	0.0	-127.38525947601414
7000	-980.5071525478204	-130.89870065306178	-849.6084518947586	182.76167176875458	848.5268266016053	0.04885971846122837	1.0	1.0	-849.6084518947586	0.0	-129.0040391388819
8000	-975.518594255381	-129.2224734859621	-846.2961207694188	181.78995287208556	848.9582195490551	0.038318265237553446	1.0	1.0	-846.2961207694188	0.0	-127.12363555464782
9000	-969.2883850993419	-128.57584446863	-840.7125406307119	178.05046071859996	824.6086781045611	0.031175903000698467	1.0	1.0	-840.7125406307119	0.0	-126.28310500870262
10000	-924.9742360076525	-129.3154210529594	-795.6588149546931	177.20568129655075	838.9184419167082	0.04295231204061617	1.0	1.0	-795.6588149546931	0.0	-127.31576592341752
11000	-923.2692626381419	-129.0154030912527	-794.2538595468892	176.33840713226977	823.9102309421411	0.028617495956327815	1.0	1.0	-794.2538595468892	0.0	-126.63662074506148
12000	-919.7726114580921	-130.34691774103524	-789.4256937170569	177.43751312646378	854.2647383112136	0.04506486569028501	1.0	1.0	-789.4256937170569	0.0	-128.38724434861513
13000	-908.5589821697343	-130.32280854940862	-778.2361736203258	183.22757227328574	875.2692374339551	0.03920323977452106	1.0	1.0	-778.2361736203258	0.0	-128.24427054284223
14000	-902.075283535939	-130.23639451637243	-771.8388890195665	181.2786839724653	871.4948382966611	0.039740983401287344	1.0	1.0	-771.8388890195665	0.0	-128.16985849529797
15000	-877.90816236041	-130.227310751551	-747.6808516088589	182.64910177813425	880.0090887898549	0.03575233606227183	1.0	1.0	-747.6808516088589	0.0	-128.06543104002355
16000	-850.5439712100808	-130.0555989347226	-720.4883722753582	184.01142583598795	870.844251081047	0.030781704398606446	1.0	1.0	-720.4883722753582	0.0	-127.75027889138727
17000	-851.684691299201	-129.9459369852503	-721.7387543139506	170.56091902100457	859.6302400759969	0.04122818385878013	1.0	1.0	-721.7387543139506	0.0	-127.91135587386054
18000	-844.1925873524184	-129.48380761900214	-714.7087797334162	167.13837572107315	859.4520896805867	0.034446555636416326	1.0	1.0	-714.7087797334162	0.0	-127.2872059973893
19000	-831.4902295875968	-130.54706812659325	-700.9431614610036	160.7002425617028	858.924649518108	0.04501482377144488	1.0	1.0	-700.9431614610036	0.0	-128.58648109412854
20000	-832.8453913248081	-128.18935535648038	-704.6560359683277	154.46249384551874	822.653033201407	0.03759921727862336	1.0	1.0	-704.6560359683277	0.0	-126.07349947022311
21000	-824.5965331409783	-127.60899006776812	-696.9875430732102	149.1542992501335	797.0416138794178	0.03187334653364271	1.0	1.0	-696.9875430732102	0.0	-125.33795291971019
22000	-825.3104890514114	-127.38880227600349	-697.9216867754079	158.3106847626673	777.4781399693528	0.048628448330205985	1.0	1.0	-697.9216867754079	0.0	-125.49040587686578
23000	-818.6319522283092	-125.85762986205	-692.7743223662592	161.16368699755196	752.3943318221372	0.046098153383105654	1.0	1.0	-692.7743223662592	0.0	-123.9164785227917
24000	-806.3494549060339	-126.61157779465233	-679.7378771113815	158.30684525714875	777.0172288233227	0.03481969281291126	1.0	1.0	-679.7378771113815	0.0	-124.42509405592179
25000	-810.3507456827627	-126.09223192566269	-684.2585137571001	162.42249838297198	767.1621433207929	0.039868993335493014	1.0	1.0	-684.2585137571001	0.0	-124.02851701007518
26000	-810.9712190672809	-127.51069324307934	-683.4605258242016	161.88150256690943	741.7629301569812	0.058645474150144594	1.0	1.0	-683.4605258242016	0.0	-125.75214009062546
27000	-807.1388591627135	-123.83565890156689	-683.3032002611466	156.7083957300828	711.5359826390196	0.041974664914830165	1.0	1.0	-683.3032002611466	0.0	-121.8164671577116
28000	-803.5431709175293	-124.29165823120147	-679.2515126863278	153.64278933538864	718.6662993587377	0.03744438921496034	1.0	1.0	-679.2515126863278	0.0	-122.17207425607931
29000	-804.9041785353154	-124.7424149300505	-680.1617636052649	154.806335018957	707.6649314644972	0.054414366229419364	1.0	1.0	-680.1617636052649	0.0	-122.9298239200897
30000	-796.1168947480994	-124.98221451462516	-671.1346802334742	148.7171398723259	689.1982436465511	0.02912537940586072	1.0	1.0	-671.1346802334742	0.0	-122.62137520280176
31000	-797.007320039823	-123.72545779794503	-673.2818622418779	147.23601689639625	687.1562272805372	0.033535681860896074	1.0	1.0	-673.2818622418779	0.0	-121.50346565470343
32000	-772.098355786021	-123.77742880293083	-648.3209269830902	149.55441254203058	707.642515862132	0.038760657024830246	1.0	1.0	-648.3209269830902	0.0	-121.68882554246869
33000	-759.5224149910395	-123.94735249880594	-635.5750624922335	153.7191510460942	711.5871018862089	0.04562420864690275	1.0	1.0	-635.5750624922335	0.0	-121.99778595360563
34000	-750.3832956467412	-122.72059159161681	-627.6627040551244	150.01073392445036	680.9824892531611	0.039029157750498616	1.0	1.0	-627.6627040551244	0.0	-120.63811504774102
35000	-733.2359805709277	-122.05425319860552	-611.1817273723221	143.76692708029884	659.7454161563284	0.05367741450342947	1.0	1.0	-611.1817273723221	0.0	-120.2315537913025
36000	-697.2983881082405	-123.87683842600171	-573.4215496822388	144.09516469004674	665.7820764091355	0.0632522475446964	1.0	1.0	-573.4215496822388	0.0	-122.17032662122035
37000	-678.3161679078646	-120.47758912654746	-557.8385787813171	133.22054925741125	635.7244407616117	0.046281415070811405	1.0	1.0	-557.8385787813171	0.0	-118.53965593766762
38000	-679.5745154612171	-120.36303742585181	-559.2114780353653	135.03650284240175	633.2754856282972	0.0477262027320826	1.0	1.0	-559.2114780353653	0.0	-118.44980075557812
39000	-678.8666970843049	-120.16971943070051	-558.6969776536043	128.7616639821836	629.1838686519276	0.04671627610014159	1.0	1.0	-558.6969776536043	0.0	-118.23934418728669
40000	-676.5012941618357	-119.86569360508622	-556.6356005567495	127.02822605091681	622.7829453000438	0.04711678261075077	1.0	1.0	-556.6356005567495	0.0	-117.94218330645677
41000	-664.6203635759995	-118.87025627232599	-545.7501073036735	127.85192799393644	602.3080245593134	0.05023984424095322	1.0	1.0	-545.7501073036735	0.0	-116.99732019560457
42000	-661.9899959968945	-119.28252694566413	-542.7074690512304	121.70264502240231	593.2765463478142	0.06318629405447267	1.0	1.0	-542.7074690512304	0.0	-117.57531447282719
43000	-662.4607858048909	-119.24744986316406	-543.2133359417268	125.88955802472661	592.8337348474872	0.0631286017989755	1.0	1.0	-543.2133359417268	0.0	-117.539623489757
44000	-663.4242061289335	-118.40553309553164	-545.0186730334019	129.37013144358178	587.1790863725694	0.04392571738996477	1.0	1.0	-545.0186730334019	0.0	-116.42466667899494
45000	-665.1571822389681	-118.70830907758614	-546.4488731613819	134.00121265407972	598.841961148554	0.051243761391415794	1.0	1.0	-546.4488731613819	0.0	-116.85059509057805
46000	-665.817298359107	-118.19974700517238	-547.6175513539346	135.43525054841234	587.6820544048317	0.0540618534074035	1.0	1.0	-547.6175513539346	0.0	-116.3823482546149
47000	-663.9281632800411	-118.71666235500528	-545.2115009250358	143.67226156177574	597.3433586502588	0.04596701648371904	1.0	1.0	-545.2115009250358	0.0	-116.7731960202725
48000	-663.3787178547034	-117.87371880887041	-545.504999045833	138.30158861531442	580.919444479892	0.04751559560150039	1.0	1.0	-545.504999045833	0.0	-115.95695490888471
49000	-665.9314842001601	-117.20849934586379	-548.7229848542963	136.83318891850087	569.3463190834631	0.05050554397217079	1.0	1.0	-548.7229848542963	0.0	-115.3396383997414
50000	-671.1279165383437	-118.62923740757219	-552.4986791307715	138.66630960034195	583.5147033530307	0.0407656338517422	1.0	1.0	-552.4986791307715	0.0	-116.58490668596079
51000	-673.1427395271631	-118.9060781767967	-554.2366613503665	135.15883724027685	563.9766138354125	0.074352734148821	1.0	1.0	-554.2366613503665	0.0	-117.30231338371891
52000	-666.7936514361986	-116.97279997272706	-549.8208514634715	134.85791888458095	563.4534846945743	0.05701750571000359	1.0	1.0	-549.8208514634715	0.0	-115.19422355769166
53000	-664.9090844220302	-119.38496609111337	-545.5241183309168	146.77154003290616	599.5758345724181	0.060732877299108215	1.0	1.0	-545.5241183309168	0.0	-117.65079825041295
54000	-664.523575089312	-118.80404786858792	-545.7195272207241	151.33651479931132	600.5320098051	0.04757566452053488	1.0	1.0	-545.7195272207241	0.0	-116.88829247566339
55000	-665.4947866017288	-119.6936269103419	-545.8011596913869	152.06962505331137	619.1401205708172	0.047149350643925544	1.0	1.0	-545.8011596913869	0.0	-117.77067086430267
56000	-644.370308926151	-120.26201392363728	-524.1082950025137	162.4299983840412	630.0556292077556	0.050178376715042494	1.0	1.0	-524.1082950025137	0.0	-118.38813026028055
57000	-628.1344955239798	-120.49989361809409	-507.63460190588575	163.9791420663872	636.1656502533906	0.046080218445379795	1.0	1.0	-507.63460190588575	0.0	-118.5584262702137
58000	-621.0722993545673	-121.60144397220552	-499.4708553823618	170.43287608603774	647.0916332355196	0.05585325168456061	1.0	1.0	-499.4708553823618	0.0	-119.80797032310937
59000	-619.5587388340508	-120.69427695477866	-498.86446187927214	167.06731294271066	640.3593368936133	0.047170446749021516	1.0	1.0	-498.86446187927214	0.0	-118.77167961117281
60000	-606.5992889880802	-120.99423913225334	-485.60504985582685	166.56779330090555	646.376097718008	0.044314153310650445	1.0	1.0	-485.60504985582685	0.0	-119.02069327942492
61000	-606.2352522193682	-120.81981793779974	-485.4154342815685	162.23864216263038	643.0226052932711	0.04716270344199513	1.0	1.0	-485.4154342815685	0.0	-118.89708896174655
62000	-599.9410564693897	-119.70837474074534	-480.23268172864437	153.34368546234347	612.0819052008711	0.04151628523202609	1.0	1.0	-480.23268172864437	0.0	-117.67978285291045
63000	-595.5965675641291	-119.62889361746457	-475.9676739466646	149.42082649511366	612.3344522775424	0.05545346472208651	1.0	1.0	-475.9676739466646	0.0	-117.83018836670477
64000	-593.425953604137	-119.5216444602045	-473.9043091439325	147.73075391788564	614.4062144272563	0.05168097908803823	1.0	1.0	-473.9043091439325	0.0	-117.67041347944858
65000	-592.3519875584997	-119.08591609602459	-473.2660714624751	150.6211889728151	606.7640584527356	0.049096087019695984	1.0	1.0	-473.2660714624751	0.0	-117.19504331648062
66000	-595.4348836497342	-119.32607933840164	-476.10880431133256	148.45578785564896	611.4978728214472	0.047554077666652254	1.0	1.0	-476.10880431133256	0.0	-117.40996174849828
67000	-596.1658756438352	-118.99369703750364	-477.17217860633156	155.78995456089618	604.0428823380887	0.051938795395268834	1.0	1.0	-477.17217860633156	0.0	-117.14624836804455
68000	-601.1287283797602	-119.06191783145927	-482.0668105483009	152.30023365795708	595.9451672094915	0.041328309542999965	1.0	1.0	-482.0668105483009	0.0	-117.02942537074345
69000	-600.3158139100778	-118.50332653290792	-481.8124873771699	149.87505041639946	574.185267263793	0.06681305587877685	1.0	1.0	-481.8124873771699	0.0	-116.83291868371016
70000	-597.9030074993275	-121.94965740817088	-475.95335009115655	144.0932181916592	559.9183557033601	0.09098048207501626	1.0	1.0	-475.95335009115655	0.0	-120.45783999124356
71000	-595.3568695790827	-118.90456911043916	-476.4523004686436	145.76797259781173	571.6529692668904	0.03693802840858845	1.0	1.0	-476.4523004686436	0.0	-116.77263029340256
72000	-592.8449903328155	-116.74515494971183	-476.09983538310365	148.56939551461812	559.6867454182058	0.04978619660699082	1.0	1.0	-476.09983538310365	0.0	-114.86518213393425
73000	-594.4632992374543	-118.73534630077033	-475.72795293668395	162.69053344579424	577.7793717790436	0.0667524378231045	1.0	1.0	-475.72795293668395	0.0	-117.06435094970561
74000	-595.2175901780797	-116.9180734759192	-478.2995167021605	163.99380190602892	563.9199996983737	0.05128588330524981	1.0	1.0	-478.2995167021605	0.0	-115.06098787139013
75000	-595.9685848380777	-117.18683903643915	-478.78174580163864	165.28620042930106	562.9616655840891	0.06107143857043474	1.0	1.0	-478.78174580163864	0.0	-115.45649707932108
76000	-598.3297652303484	-116.07785954751243	-482.2519056828359	170.86881052749922	548.4183184863526	0.053804799923916014	1.0	1.0	-482.2519056828359	0.0	-114.25692323921399
77000	-589.5575278594234	-116.4365071900704	-473.121020669353	165.08590600165655	552.1877653519833	0.059525280435840384	1.0	1.0	-473.121020669353	0.0	-114.68840267219686
78000	-591.7056944154809	-114.45631670275779	-477.2493777127232	156.79587271709562	516.2865100366649	0.051587896345928703	1.0	1.0	-477.2493777127232	0.0	-112.60371279209703
79000	-574.778302195529	-114.16771974493732	-460.6105824505917	155.23801600153917	514.2984304579422	0.057557033629910694	1.0	1.0	-460.6105824505917	0.0	-112.39588113091969
80000	-574.1768617170078	-114.89810645190977	-459.278755265098	158.09060859935283	522.2815104971484	0.06490492766369488	1.0	1.0	-459.278755265098	0.0	-113.20876386175712
