# BEAST v10.5.0
# Generated Wed Apr 22 16:43:45 BST 2026 [seed=1776872624442]
# run_sites500_seed2.xml
state	joint	prior	likelihood	rootHeight	treeLength	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
0	-7893.1529685343485	-1288.9822572963287	-6604.17071123802	138.6419078621496	653.5225252828142	2.0	1.0	1.0	-6604.17071123802	0.0	-1286.9437823293897
1000	-5320.437371127446	-117.26534020167375	-5203.172030925772	130.91261469405504	566.2743398475025	0.046255778611804216	1.0	1.0	-5203.172030925772	0.0	-115.326958013776
2000	-4767.481595137987	-118.19979270730849	-4649.281802430678	129.50233112447722	584.8740908678266	0.045157677338568555	1.0	1.0	-4649.281802430678	0.0	-116.24180969183743
3000	-4367.803079160158	-115.41272729929008	-4252.390351860868	127.80232811928057	532.7518868385253	0.049656849046681016	1.0	1.0	-4252.390351860868	0.0	-113.53072961598508
4000	-4245.892485598297	-116.72826263914918	-4129.164222959148	130.72396255867173	560.4257513996131	0.051939845521508245	1.0	1.0	-4129.164222959148	0.0	-114.88082931476478
5000	-4119.011805942486	-116.03174544730211	-4002.9800604951834	131.484041852878	545.2911377026048	0.059648155888645235	1.0	1.0	-4002.9800604951834	0.0	-114.28508013331405
6000	-3888.423124039962	-115.6851182073486	-3772.7380058326135	130.62336405193673	531.3046805205696	0.06733667907120443	1.0	1.0	-3772.7380058326135	0.0	-114.01974804815133
7000	-3757.9283478481943	-114.37295707630382	-3643.5553907718904	130.32440682187593	515.2729554301527	0.05211760593482179	1.0	1.0	-3643.5553907718904	0.0	-112.52811422332204
8000	-3739.1125501667207	-114.41054439068066	-3624.70200577604	135.36522478660572	517.0412326722217	0.05326281409709386	1.0	1.0	-3624.70200577604	0.0	-112.58206008395683
9000	-3499.8321136079207	-114.56092682750253	-3385.2711867804182	133.29838053026543	519.3834486054059	0.0620274947709428	1.0	1.0	-3385.2711867804182	0.0	-112.8412024600164
10000	-3387.7664565056184	-114.30349374773631	-3273.462962757882	130.5691607980167	513.1634572548603	0.06485482683403042	1.0	1.0	-3273.462962757882	0.0	-112.61364142481013
11000	-3322.5638131492337	-113.60918589602248	-3208.954627253211	130.432144778287	504.1306094897486	0.06179926463856218	1.0	1.0	-3208.954627253211	0.0	-111.88695154386534
12000	-3294.5920017044455	-112.3715674934396	-3182.220434211006	126.83147011096864	477.4583699406139	0.07300945156046396	1.0	1.0	-3182.220434211006	0.0	-110.75679854304443
13000	-3291.5041580346415	-111.77854134199552	-3179.725616692646	131.34903213773438	470.09539022392005	0.05491064095462324	1.0	1.0	-3179.725616692646	0.0	-109.97263481021348
14000	-3286.4344316009688	-111.8385287844761	-3174.5959028164925	124.08202332907057	452.057638625335	0.08856339696099252	1.0	1.0	-3174.5959028164925	0.0	-110.33282247272015
15000	-3276.261443487573	-108.57426508734643	-3167.687178400227	113.24537536889494	416.6606319982341	0.08695011948119784	1.0	1.0	-3167.687178400227	0.0	-107.05889099269054
16000	-3250.7072070332524	-107.45771454923285	-3143.2494924840194	112.26376817695403	406.2243869079853	0.06327640533894287	1.0	1.0	-3143.2494924840194	0.0	-105.75145908513656
17000	-3122.5155823639966	-106.70214484327572	-3015.813437520721	109.71464559147665	399.7935436790454	0.07522419204473145	1.0	1.0	-3015.813437520721	0.0	-105.10533582208942
18000	-3108.0217450908317	-107.03545308948237	-3000.9862920013493	103.70889290821717	394.86289028120564	0.059878699971755656	1.0	1.0	-3000.9862920013493	0.0	-105.29147501365097
19000	-3109.2663129380185	-106.83538202760624	-3002.4309309104124	93.51249031286693	379.06416846934206	0.10745602456841655	1.0	1.0	-3002.4309309104124	0.0	-105.42226267786083
20000	-3107.5534751336986	-107.20634911165617	-3000.3471260220426	92.79732006463361	365.4065310703336	0.04922025081706982	1.0	1.0	-3000.3471260220426	0.0	-105.31745511715447
21000	-3106.147919932165	-104.04135827070935	-3002.106561661456	94.224725494282	363.4651143333326	0.07319294510288282	1.0	1.0	-3002.106561661456	0.0	-102.4281131502416
