site_dep_param,total tiers,current tier,size,leaves,independent_sites
"ZIP(0.2, 3.75)",2,1,10,10,10
"ZIP(0.2, 3.75)",2,2,26,10,10
"ZIP(0.2, 3.75)",3,1,10,10,10
"ZIP(0.2, 3.75)",3,2,26,10,10
"ZIP(0.2, 3.75)",3,3,80,10,10
"ZIP(0.2, 3.75)",4,1,10,10,10
"ZIP(0.2, 3.75)",4,2,39,10,10
"ZIP(0.2, 3.75)",4,3,132,10,10
"ZIP(0.2, 3.75)",4,4,435,10,10
"ZIP(0.5, 6.0)",2,1,10,10,10
"ZIP(0.5, 6.0)",2,2,31,10,10
"ZIP(0.5, 6.0)",3,1,10,10,10
"ZIP(0.5, 6.0)",3,2,27,10,10
"ZIP(0.5, 6.0)",3,3,134,10,10
"ZIP(0.5, 6.0)",4,1,10,10,10
"ZIP(0.5, 6.0)",4,2,29,10,10
"ZIP(0.5, 6.0)",4,3,96,10,10
"ZIP(0.5, 6.0)",4,4,320,10,10
"ZIP(0.7, 10.0)",2,1,10,10,10
"ZIP(0.7, 10.0)",2,2,36,10,10
"ZIP(0.7, 10.0)",3,1,10,10,10
"ZIP(0.7, 10.0)",3,2,23,10,10
"ZIP(0.7, 10.0)",3,3,85,10,10
"ZIP(0.7, 10.0)",4,1,10,10,10
"ZIP(0.7, 10.0)",4,2,25,10,10
"ZIP(0.7, 10.0)",4,3,55,10,10
"ZIP(0.7, 10.0)",4,4,185,10,10
"ZIP(0.9, 30.0)",2,1,10,10,10
"ZIP(0.9, 30.0)",2,2,57,10,10
"ZIP(0.9, 30.0)",3,1,10,10,10
"ZIP(0.9, 30.0)",3,2,29,10,10
"ZIP(0.9, 30.0)",3,3,67,10,10
"ZIP(0.9, 30.0)",4,1,10,10,10
"ZIP(0.9, 30.0)",4,2,24,10,10
"ZIP(0.9, 30.0)",4,3,126,10,10
"ZIP(0.9, 30.0)",4,4,181,10,10
"ZIP(0.2, 3.75)",2,1,50,10,50
"ZIP(0.2, 3.75)",2,2,174,10,50
"ZIP(0.2, 3.75)",3,1,50,10,50
"ZIP(0.2, 3.75)",3,2,151,10,50
"ZIP(0.2, 3.75)",3,3,451,10,50
"ZIP(0.2, 3.75)",4,1,50,10,50
"ZIP(0.2, 3.75)",4,2,145,10,50
"ZIP(0.2, 3.75)",4,3,391,10,50
"ZIP(0.2, 3.75)",4,4,1201,10,50
"ZIP(0.5, 6.0)",2,1,50,10,50
"ZIP(0.5, 6.0)",2,2,128,10,50
"ZIP(0.5, 6.0)",3,1,50,10,50
"ZIP(0.5, 6.0)",3,2,129,10,50
"ZIP(0.5, 6.0)",3,3,364,10,50
"ZIP(0.5, 6.0)",4,1,50,10,50
"ZIP(0.5, 6.0)",4,2,204,10,50
"ZIP(0.5, 6.0)",4,3,579,10,50
"ZIP(0.5, 6.0)",4,4,1710,10,50
"ZIP(0.7, 10.0)",2,1,50,10,50
"ZIP(0.7, 10.0)",2,2,127,10,50
"ZIP(0.7, 10.0)",3,1,50,10,50
"ZIP(0.7, 10.0)",3,2,140,10,50
"ZIP(0.7, 10.0)",3,3,409,10,50
"ZIP(0.7, 10.0)",4,1,50,10,50
"ZIP(0.7, 10.0)",4,2,141,10,50
"ZIP(0.7, 10.0)",4,3,338,10,50
"ZIP(0.7, 10.0)",4,4,919,10,50
"ZIP(0.9, 30.0)",2,1,50,10,50
"ZIP(0.9, 30.0)",2,2,201,10,50
"ZIP(0.9, 30.0)",3,1,50,10,50
"ZIP(0.9, 30.0)",3,2,160,10,50
"ZIP(0.9, 30.0)",3,3,507,10,50
"ZIP(0.9, 30.0)",4,1,50,10,50
"ZIP(0.9, 30.0)",4,2,263,10,50
"ZIP(0.9, 30.0)",4,3,829,10,50
"ZIP(0.9, 30.0)",4,4,2759,10,50
"ZIP(0.2, 3.75)",2,1,100,10,100
"ZIP(0.2, 3.75)",2,2,279,10,100
"ZIP(0.2, 3.75)",3,1,100,10,100
"ZIP(0.2, 3.75)",3,2,313,10,100
"ZIP(0.2, 3.75)",3,3,960,10,100
"ZIP(0.2, 3.75)",4,1,100,10,100
"ZIP(0.2, 3.75)",4,2,293,10,100
"ZIP(0.2, 3.75)",4,3,839,10,100
"ZIP(0.2, 3.75)",4,4,2443,10,100
"ZIP(0.5, 6.0)",2,1,100,10,100
"ZIP(0.5, 6.0)",2,2,310,10,100
"ZIP(0.5, 6.0)",3,1,100,10,100
"ZIP(0.5, 6.0)",3,2,264,10,100
"ZIP(0.5, 6.0)",3,3,758,10,100
"ZIP(0.5, 6.0)",4,1,100,10,100
"ZIP(0.5, 6.0)",4,2,289,10,100
"ZIP(0.5, 6.0)",4,3,817,10,100
"ZIP(0.5, 6.0)",4,4,2594,10,100
"ZIP(0.7, 10.0)",2,1,100,10,100
"ZIP(0.7, 10.0)",2,2,293,10,100
"ZIP(0.7, 10.0)",3,1,100,10,100
"ZIP(0.7, 10.0)",3,2,306,10,100
"ZIP(0.7, 10.0)",3,3,776,10,100
"ZIP(0.7, 10.0)",4,1,100,10,100
"ZIP(0.7, 10.0)",4,2,324,10,100
